Date,FirstClass,BusinessClass,EconomyClass
01/06/1987,1.912,NA,20.167
08/06/1987,1.848,NA,20.161
15/06/1987,1.856,NA,19.993
22/06/1987,2.142,NA,20.986
29/06/1987,2.118,NA,20.497
06/07/1987,2.048,NA,20.77
13/07/1987,2.111,NA,21.111
20/07/1987,2.199,NA,20.675
27/07/1987,2.231,NA,22.092
03/08/1987,2.081,NA,20.772
10/08/1987,2.213,NA,21.642
17/08/1987,2.131,NA,21.911
24/08/1987,NA,NA,NA
31/08/1987,2.131,NA,23.777
07/09/1987,2.034,NA,22.658
14/09/1987,2.19,NA,23.515
21/09/1987,2.262,NA,21.384
28/09/1987,2.579,NA,24.344
05/10/1987,2.367,NA,21.137
12/10/1987,2.432,NA,23.069
19/10/1987,2.64,NA,23.664
26/10/1987,2.614,NA,23.219
02/11/1987,2.569,NA,23.192
09/11/1987,2.523,NA,23.475
16/11/1987,2.26,NA,22.377
23/11/1987,1.117,NA,16.606
30/11/1987,0.59,NA,13.987
07/12/1987,0.966,NA,16.251
14/12/1987,1.235,NA,18.439
21/12/1987,2.001,NA,20.262
28/12/1987,1.696,NA,19.535
04/01/1988,2.089,NA,22.467
11/01/1988,2.716,NA,24.559
18/01/1988,2.483,NA,24.591
25/01/1988,2.461,NA,24.511
01/02/1988,2.533,NA,24.524
08/02/1988,2.273,NA,23.119
15/02/1988,2.273,NA,23.106
22/02/1988,2.37,NA,23.292
29/02/1988,1.782,NA,21.566
07/03/1988,1.385,NA,18.565
14/03/1988,2.322,NA,24.361
21/03/1988,2.34,NA,22.983
28/03/1988,2.203,NA,21.062
04/04/1988,2.3,NA,21.766
11/04/1988,2.125,NA,22.285
18/04/1988,2.345,NA,22.867
25/04/1988,2.224,NA,23.276
02/05/1988,1.952,NA,20.924
09/05/1988,2.212,NA,21.716
16/05/1988,2.028,NA,20.908
23/05/1988,1.906,NA,21.41
30/05/1988,1.834,NA,21.361
06/06/1988,1.797,NA,22.412
13/06/1988,1.869,NA,21.29
20/06/1988,1.886,NA,22.247
27/06/1988,2.131,NA,22.445
04/07/1988,2.021,NA,21.26
11/07/1988,2.199,NA,22.771
18/07/1988,2.14,NA,23.723
25/07/1988,2.19,NA,23.757
01/08/1988,1.917,NA,23.482
08/08/1988,2.096,NA,23.653
15/08/1988,2.254,NA,26.054
22/08/1988,2.251,NA,25.695
29/08/1988,2.072,NA,26.72
05/09/1988,0.993,NA,15.033
12/09/1988,1.675,NA,22.34
19/09/1988,1.463,NA,19.297
26/09/1988,2.256,NA,23.761
03/10/1988,2.216,NA,22.15
10/10/1988,2.218,NA,22.236
17/10/1988,2.568,NA,23.157
24/10/1988,2.483,NA,24.387
31/10/1988,2.545,NA,23.844
07/11/1988,2.599,NA,23.681
14/11/1988,2.483,NA,24.456
21/11/1988,1.793,NA,19.899
28/11/1988,0.516,NA,13.662
05/12/1988,0.873,NA,15.698
12/12/1988,1.195,NA,18.189
19/12/1988,1.525,NA,19.448
26/12/1988,1.906,NA,20.891
02/01/1989,2.246,NA,22.284
09/01/1989,2.247,NA,23.247
16/01/1989,2.316,NA,24.44
23/01/1989,2.276,NA,22.519
30/01/1989,2.403,NA,22.818
06/02/1989,2.432,NA,23.472
13/02/1989,2.49,NA,24.117
20/02/1989,2.013,NA,24.435
27/02/1989,1.508,NA,20.589
06/03/1989,2.251,NA,23.427
13/03/1989,2.079,NA,20.923
20/03/1989,2.21,NA,22.959
27/03/1989,1.96,NA,19.152
03/04/1989,2.251,NA,22.011
10/04/1989,2.013,NA,20.228
17/04/1989,2.252,NA,21.332
24/04/1989,2.067,NA,20.5
01/05/1989,1.831,NA,19.09
08/05/1989,2.069,NA,21.692
15/05/1989,1.953,NA,20.157
22/05/1989,2.199,NA,22.231
29/05/1989,1.771,NA,20.914
05/06/1989,1.696,NA,21.454
12/06/1989,1.788,NA,21.345
19/06/1989,1.636,1.524,19.26
26/06/1989,1.741,2.212,18.781
03/07/1989,1.597,1.777,17.445
10/07/1989,1.943,2.552,19.628
17/07/1989,1.66,1.889,17.692
24/07/1989,0.616,0.851,7.046
31/07/1989,0,0,0
07/08/1989,0,0,0
14/08/1989,0,0,0
21/08/1989,0,0,0
28/08/1989,0,0,0
04/09/1989,0,0,0
11/09/1989,0,0,0
18/09/1989,0.053,0.618,11.569
25/09/1989,0.04,0.565,11.973
02/10/1989,0.354,0.414,11.123
09/10/1989,0.505,0.543,11.479
16/10/1989,0.711,0.712,16.969
23/10/1989,0.723,0.652,15.997
30/10/1989,0.796,0.709,16.555
06/11/1989,0.856,0.793,17.959
13/11/1989,0.845,0.838,18.868
20/11/1989,0.807,0.763,15.4
27/11/1989,0.276,0.266,10.544
04/12/1989,0.339,0.362,12.755
11/12/1989,0.581,0.665,19.02
18/12/1989,0.894,0.957,20.077
25/12/1989,0.936,1.145,22.124
01/01/1990,1.111,1.312,19.92
08/01/1990,1.446,1.689,17.215
15/01/1990,1.517,1.762,17.662
22/01/1990,1.513,2.16,19.828
29/01/1990,1.508,1.877,18.754
05/02/1990,1.636,2.048,20.39
12/02/1990,1.38,1.824,18.383
19/02/1990,1.453,1.986,19.377
26/02/1990,1.459,2.032,20.133
05/03/1990,1.538,1.956,19.21
12/03/1990,1.327,1.503,20.736
19/03/1990,1.027,1.256,18.821
26/03/1990,1.365,1.752,20.952
02/04/1990,1.475,1.878,20.565
09/04/1990,1.365,1.945,20.311
16/04/1990,1.351,1.735,17.859
23/04/1990,1.231,1.825,19.385
30/04/1990,1.447,1.715,17.962
07/05/1990,1.408,1.594,19.569
14/05/1990,1.089,1.377,17.894
21/05/1990,1.357,1.686,18.114
28/05/1990,1.287,1.56,19.17
04/06/1990,1.087,1.692,18.713
11/06/1990,1.017,1.597,20.52
18/06/1990,1.09,1.729,20.345
25/06/1990,1.343,1.733,20.015
02/07/1990,1.164,1.813,18.027
09/07/1990,1.169,1.725,19.697
16/07/1990,1.465,1.909,19.897
23/07/1990,1.242,1.765,19.213
30/07/1990,1.22,1.781,19.773
06/08/1990,1.231,1.717,20.128
13/08/1990,1.266,1.884,21.181
20/08/1990,1.337,1.881,21.933
27/08/1990,1.079,1.433,20.049
03/09/1990,1.223,1.534,23.358
10/09/1990,1.351,1.926,21.12
17/09/1990,1.269,1.87,21.97
24/09/1990,1.382,1.942,21.411
01/10/1990,1.435,2.222,22.569
08/10/1990,1.371,1.909,20.849
15/10/1990,1.341,2.089,20.658
22/10/1990,1.399,2.026,21.192
29/10/1990,1.44,2.009,21.502
05/11/1990,1.236,2.034,22.152
12/11/1990,1.441,2.085,21.904
19/11/1990,0.988,1.33,20.634
26/11/1990,0.3,0.318,15.535
03/12/1990,0.401,0.522,16.69
10/12/1990,0.529,0.824,19.15
17/12/1990,0.786,1.113,21.128
24/12/1990,1.086,1.285,21.136
31/12/1990,0.725,1.107,19.693
07/01/1991,1.127,1.591,21.576
14/01/1991,1.146,1.726,21.449
21/01/1991,1.086,1.758,22.298
28/01/1991,1.134,1.883,21.056
04/02/1991,1.02,2.089,19.014
11/02/1991,1.022,2.198,19.511
18/02/1991,1.224,2.449,20.162
25/02/1991,0.895,1.739,21.158
04/03/1991,0.658,1.48,19.059
11/03/1991,0.977,2.152,21.972
18/03/1991,0.916,2.258,22.877
25/03/1991,0.83,1.776,22.19
01/04/1991,0.99,2.355,22.533
08/04/1991,0.77,2.14,20.682
15/04/1991,0.801,1.988,21.788
22/04/1991,0.839,2.083,21.299
29/04/1991,0.835,2.115,20.663
06/05/1991,0.802,1.884,21.948
13/05/1991,0.763,1.797,21.009
20/05/1991,0.77,1.944,20.443
27/05/1991,0.838,2.001,21.418
03/06/1991,0.742,1.668,23.273
10/06/1991,0.793,1.527,25.763
17/06/1991,0.9,1.477,26.045
24/06/1991,0.96,1.949,23.831
01/07/1991,0.8,1.914,22.742
08/07/1991,0.807,1.632,22.962
15/07/1991,0.841,1.796,25.253
22/07/1991,0.88,1.696,25.239
29/07/1991,0.818,1.718,27.387
05/08/1991,0.817,1.442,26.824
12/08/1991,0.819,1.713,27.294
19/08/1991,0.998,1.796,28.935
26/08/1991,1.22,1.86,31.642
02/09/1991,0.966,1.554,32.468
09/09/1991,0.895,1.623,27.673
16/09/1991,0.978,1.641,28.89
23/09/1991,0.913,1.818,26.465
30/09/1991,0.947,1.969,28.296
07/10/1991,1.002,1.886,29.274
14/10/1991,1.081,2.03,30.686
21/10/1991,0.977,1.883,29.786
28/10/1991,1.027,1.871,31.155
04/11/1991,0.895,1.91,28.459
11/11/1991,0.9,1.921,27.195
18/11/1991,0.762,1.672,26.274
25/11/1991,0.329,0.386,25.204
02/12/1991,0.351,0.446,24.434
09/12/1991,0.419,0.819,27.323
16/12/1991,0.618,1.238,27.303
23/12/1991,0.845,1.761,30.334
30/12/1991,0.727,1.65,26.833
06/01/1992,1.2,2.031,25.811
13/01/1992,1.801,2.064,27.238
20/01/1992,1.727,2.418,28.788
27/01/1992,1.992,2.171,27.263
03/02/1992,1.865,2.362,27.217
10/02/1992,1.801,2.328,26.41
17/02/1992,1.661,2.336,26.118
24/02/1992,2.366,10.301,18.642
02/03/1992,2.003,9.964,16.518
09/03/1992,2.092,10.433,17.276
16/03/1992,1.703,8.281,21.662
23/03/1992,1.337,6.128,20.473
30/03/1992,1.985,9.709,18.336
06/04/1992,1.808,8.828,17.018
13/04/1992,1.839,8.078,18.111
20/04/1992,1.714,7.527,18.41
27/04/1992,1.73,7.486,20.541
04/05/1992,1.725,6.711,21.408
11/05/1992,1.456,5.93,21.545
18/05/1992,1.447,5.462,21.732
25/05/1992,1.357,3.71,26.173
01/06/1992,1.28,2.894,27.432
08/06/1992,1.363,3.008,28.362
15/06/1992,1.228,2.829,29.827
22/06/1992,1.411,3.252,29.87
29/06/1992,1.13,3.021,26.534
06/07/1992,1.153,2.667,26.434
13/07/1992,1.257,2.74,26.137
20/07/1992,1.259,2.807,27.365
27/07/1992,1.153,2.961,27.91
03/08/1992,1.202,2.57,26.311
10/08/1992,1.185,2.671,27.538
17/08/1992,1.247,2.809,29.445
24/08/1992,1.434,2.712,28.326
31/08/1992,1.45,2.606,30.203
07/09/1992,1.227,2.5,27.838
14/09/1992,1.245,2.898,27.76
21/09/1992,1.417,3.152,27.322
28/09/1992,1.458,3.053,28.837
05/10/1992,1.398,2.745,26.548
12/10/1992,1.423,3.156,27.279
19/10/1992,1.358,3.069,27.306
26/10/1992,1.488,3.379,28.299
